regional,sigla_estados_regional,provincia_eclesiastica,papel_na_provincia,tipo_circunscricao,circunscricao,ano_criacao,url_cnbb_regional,fonte_wikipedia,estado,municipio_sede,regiao,bairro,endereco,nome_da_igreja_paroquia,cnpj,canal_de_doacoes,contato,nome_do_paroco
Regional Nordeste V,MA,Província Eclesiástica de São Luís do Maranhão,sufragânea,Diocese,Diocese de Grajaú,1984,https://www.cnbb.org.br/nordeste-5/,https://pt.wikipedia.org/wiki/Circunscri%C3%A7%C3%B5es_eclesi%C3%A1sticas_cat%C3%B3licas_do_Brasil,,,,,,,,,,
Regional Nordeste V,MA,Província Eclesiástica de São Luís do Maranhão,sufragânea,Diocese,Diocese de Imperatriz,1987,https://www.cnbb.org.br/nordeste-5/,https://pt.wikipedia.org/wiki/Circunscri%C3%A7%C3%B5es_eclesi%C3%A1sticas_cat%C3%B3licas_do_Brasil,,,,,,,,,,
Regional Leste 1,RJ,Província Eclesiástica de São Sebastião do Rio de Janeiro,sede metropolitana,Arquidiocese,Arquidiocese do Rio de Janeiro,1892,https://www.cnbb.org.br/leste-1/,https://pt.wikipedia.org/wiki/Circunscri%C3%A7%C3%B5es_eclesi%C3%A1sticas_cat%C3%B3licas_do_Brasil,,,,,,,,,,
Regional Leste 1,RJ,Província Eclesiástica de São Sebastião do Rio de Janeiro,sufragânea,Diocese,Diocese de Barra do Piraí-Volta Redonda,1922,https://www.cnbb.org.br/leste-1/,https://pt.wikipedia.org/wiki/Circunscri%C3%A7%C3%B5es_eclesi%C3%A1sticas_cat%C3%B3licas_do_Brasil,,,,,,,,,,
Regional Leste 1,RJ,Província Eclesiástica de São Sebastião do Rio de Janeiro,sufragânea,Diocese,Diocese de Valença,1925,https://www.cnbb.org.br/leste-1/,https://pt.wikipedia.org/wiki/Circunscri%C3%A7%C3%B5es_eclesi%C3%A1sticas_cat%C3%B3licas_do_Brasil,,,,,,,,,,
Regional Leste 1,RJ,Província Eclesiástica de São Sebastião do Rio de Janeiro,sufragânea,Diocese,Diocese de Nova Iguaçu,1960,https://www.cnbb.org.br/leste-1/,https://pt.wikipedia.org/wiki/Circunscri%C3%A7%C3%B5es_eclesi%C3%A1sticas_cat%C3%B3licas_do_Brasil,,,,,,,,,,
Regional Leste 1,RJ,Província Eclesiástica de São Sebastião do Rio de Janeiro,sufragânea,Diocese,Diocese de Itaguaí,1980,https://www.cnbb.org.br/leste-1/,https://pt.wikipedia.org/wiki/Circunscri%C3%A7%C3%B5es_eclesi%C3%A1sticas_cat%C3%B3licas_do_Brasil,,,,,,,,,,
Regional Leste 1,RJ,Província Eclesiástica de São Sebastião do Rio de Janeiro,sufragânea,Diocese,Diocese de Duque de Caxias,1980,https://www.cnbb.org.br/leste-1/,https://pt.wikipedia.org/wiki/Circunscri%C3%A7%C3%B5es_eclesi%C3%A1sticas_cat%C3%B3licas_do_Brasil,,,,,,,,,,
Regional Leste 1,RJ,Província Eclesiástica de Niterói,sede metropolitana,Arquidiocese,Arquidiocese de Niterói,1960,https://www.cnbb.org.br/leste-1/,https://pt.wikipedia.org/wiki/Circunscri%C3%A7%C3%B5es_eclesi%C3%A1sticas_cat%C3%B3licas_do_Brasil,,,,,,,,,,
Regional Leste 1,RJ,Província Eclesiástica de Niterói,sufragânea,Diocese,Diocese de Campos,1922,https://www.cnbb.org.br/leste-1/,https://pt.wikipedia.org/wiki/Circunscri%C3%A7%C3%B5es_eclesi%C3%A1sticas_cat%C3%B3licas_do_Brasil,,,,,,,,,,
Regional Leste 1,RJ,Província Eclesiástica de Niterói,sufragânea,Diocese,Diocese de Petrópolis,1946,https://www.cnbb.org.br/leste-1/,https://pt.wikipedia.org/wiki/Circunscri%C3%A7%C3%B5es_eclesi%C3%A1sticas_cat%C3%B3licas_do_Brasil,,,,,,,,,,
Regional Leste 1,RJ,Província Eclesiástica de Niterói,sufragânea,Diocese,Diocese de Nova Friburgo,1960,https://www.cnbb.org.br/leste-1/,https://pt.wikipedia.org/wiki/Circunscri%C3%A7%C3%B5es_eclesi%C3%A1sticas_cat%C3%B3licas_do_Brasil,,,,,,,,,,
Regional Leste 1,RJ,Província Eclesiástica de Niterói,sufragânea,Administração Apostólica,Administração Apostólica Pessoal São João Maria Vianney,2002,https://www.cnbb.org.br/leste-1/,https://pt.wikipedia.org/wiki/Circunscri%C3%A7%C3%B5es_eclesi%C3%A1sticas_cat%C3%B3licas_do_Brasil,,,,,,,,,,
Regional Leste 2,MG,Província Eclesiástica de Mariana,sede metropolitana,Arquidiocese,Arquidiocese de Mariana,1906,https://www.cnbb.org.br/leste-2/,https://pt.wikipedia.org/wiki/Circunscri%C3%A7%C3%B5es_eclesi%C3%A1sticas_cat%C3%B3licas_do_Brasil,,,,,,,,,,
Regional Leste 2,MG,Província Eclesiástica de Mariana,sufragânea,Diocese,Diocese de Caratinga,1915,https://www.cnbb.org.br/leste-2/,https://pt.wikipedia.org/wiki/Circunscri%C3%A7%C3%B5es_eclesi%C3%A1sticas_cat%C3%B3licas_do_Brasil,,,,,,,,,,
Regional Leste 2,MG,Província Eclesiástica de Mariana,sufragânea,Diocese,Diocese de Governador Valadares,1956,https://www.cnbb.org.br/leste-2/,https://pt.wikipedia.org/wiki/Circunscri%C3%A7%C3%B5es_eclesi%C3%A1sticas_cat%C3%B3licas_do_Brasil,,,,,,,,,,
Regional Leste 2,MG,Província Eclesiástica de Mariana,sufragânea,Diocese,Diocese de Itabira-Fabriciano,1965,https://www.cnbb.org.br/leste-2/,https://pt.wikipedia.org/wiki/Circunscri%C3%A7%C3%B5es_eclesi%C3%A1sticas_cat%C3%B3licas_do_Brasil,,,,,,,,,,
Regional Leste 2,MG,Província Eclesiástica de Diamantina,sede metropolitana,Arquidiocese,Arquidiocese de Diamantina,1917,https://www.cnbb.org.br/leste-2/,https://pt.wikipedia.org/wiki/Circunscri%C3%A7%C3%B5es_eclesi%C3%A1sticas_cat%C3%B3licas_do_Brasil,,,,,,,,,,
Regional Leste 2,MG,Província Eclesiástica de Diamantina,sufragânea,Diocese,Diocese de Araçuaí,1913,https://www.cnbb.org.br/leste-2/,https://pt.wikipedia.org/wiki/Circunscri%C3%A7%C3%B5es_eclesi%C3%A1sticas_cat%C3%B3licas_do_Brasil,,,,,,,,,,
Regional Leste 2,MG,Província Eclesiástica de Diamantina,sufragânea,Diocese,Diocese de Teófilo Otoni,1960,https://www.cnbb.org.br/leste-2/,https://pt.wikipedia.org/wiki/Circunscri%C3%A7%C3%B5es_eclesi%C3%A1sticas_cat%C3%B3licas_do_Brasil,,,,,,,,,,
Regional Leste 2,MG,Província Eclesiástica de Diamantina,sufragânea,Diocese,Diocese de Almenara,1981,https://www.cnbb.org.br/leste-2/,https://pt.wikipedia.org/wiki/Circunscri%C3%A7%C3%B5es_eclesi%C3%A1sticas_cat%C3%B3licas_do_Brasil,,,,,,,,,,
Regional Leste 2,MG,Província Eclesiástica de Diamantina,sufragânea,Diocese,Diocese de Guanhães,1985,https://www.cnbb.org.br/leste-2/,https://pt.wikipedia.org/wiki/Circunscri%C3%A7%C3%B5es_eclesi%C3%A1sticas_cat%C3%B3licas_do_Brasil,,,,,,,,,,
Regional Leste 2,MG,Província Eclesiástica de Belo Horizonte,sede metropolitana,Arquidiocese,Arquidiocese de Belo Horizonte,1924,https://www.cnbb.org.br/leste-2/,https://pt.wikipedia.org/wiki/Circunscri%C3%A7%C3%B5es_eclesi%C3%A1sticas_cat%C3%B3licas_do_Brasil,,,,,,,,,,
